Potencial	Intensidad	Potencial	Intensidad
487.009	0.0757	487.211	1.643
486.035	0.0751	486.227	1.6389
485.028	0.0718	485.214	1.632
484.02	0.0696	484.208	1.6273
483.027	0.067	483.203	1.6229
482.007	0.0631	482.168	1.6185
480.992	0.0615	481.176	1.6164
480	0.0595	480.18	1.6126
479	0.057	479.182	1.6083
477.981	0.0554	478.2	1.6049
477.001	0.0531	477.207	1.6007
476.013	0.0515	476.217	1.5966
475.017	0.0501	475.231	1.5923
474.035	0.0487	474.225	1.5883
473.041	0.047	473.225	1.585
472.034	0.0441	472.222	1.581
471.022	0.0416	471.188	1.5779
470.011	0.0393	470.182	1.5745
468.993	0.0363	469.161	1.5695
467.987	0.0349	468.168	1.5667
467.001	0.0339	467.212	1.5629
466.012	0.0313	466.218	1.5576
465.032	0.0303	465.226	1.5545
464.024	0.0283	464.226	1.5507
463.034	0.0252	463.247	1.547
462.042	0.0235	462.261	1.5437
461.028	0.0214	461.297	1.5408
460.05	0.0192	460.317	1.5369
459.041	0.017	459.27	1.5321
458.044	0.0144	458.249	1.528
457.048	0.0126	457.25	1.5226
456.049	0.0105	456.231	1.5175
455.042	0.0094	455.229	1.5147
454.047	0.0087	454.253	1.5117
453.043	0.0058	453.216	1.5091
452.022	0.0039	452.188	1.5059
451.015	0.0017	451.196	1.5017
449.991	-0.0017	450.188	1.4977
449.006	-0.0031	449.19	1.4935
448.03	-0.0046	448.223	1.4904
447.029	-0.007	447.234	1.4862
446.051	-0.0086	446.231	1.4826
445.049	-0.0106	445.255	1.4788
444.032	-0.0124	444.244	1.4754
443.046	-0.0142	443.229	1.4722
442.032	-0.016	442.22	1.4681
441.028	-0.0178	441.2	1.4644
440.035	-0.0204	440.198	1.4589
439.035	-0.0223	439.191	1.4553
438.056	-0.0237	438.228	1.4529
437.065	-0.0258	437.234	1.449
436.061	-0.0271	436.255	1.4453
435.078	-0.0278	435.28	1.4413
434.062	-0.0302	434.241	1.436
433.052	-0.0321	433.275	1.432
432.066	-0.0343	432.259	1.4279
431.033	-0.0379	431.244	1.4237
430.032	-0.0398	430.251	1.4199
429.033	-0.042	429.221	1.4162
428.022	-0.0441	428.232	1.4135
427.035	-0.0455	427.237	1.4101
426.016	-0.0476	426.248	1.4056
425.04	-0.0484	425.257	1.4013
424.055	-0.0502	424.264	1.3959
423.06	-0.0516	423.272	1.3916
422.092	-0.052	422.262	1.3884
421.085	-0.0549	421.258	1.3833
420.078	-0.0571	420.269	1.3792
419.086	-0.059	419.261	1.3753
418.091	-0.0624	418.273	1.3698
417.083	-0.0635	417.283	1.3652
416.095	-0.0646	416.259	1.361
415.095	-0.0665	415.247	1.3541
414.08	-0.0675	414.279	1.3499
413.07	-0.0693	413.264	1.3453
412.071	-0.0711	412.27	1.3401
411.079	-0.0731	411.3	1.3362
410.087	-0.0754	410.28	1.3315
409.116	-0.0773	409.293	1.327
408.103	-0.08	408.311	1.3216
407.091	-0.0824	407.307	1.316
406.109	-0.0839	406.312	1.3095
405.121	-0.0871	405.306	1.3028
404.132	-0.0884	404.279	1.2976
403.132	-0.089	403.279	1.2917
402.1	-0.0919	402.256	1.2858
401.075	-0.0933	401.271	1.2794
400.073	-0.0953	400.258	1.2726
399.07	-0.0986	399.26	1.267
398.079	-0.0995	398.274	1.2622
397.071	-0.1011	397.264	1.2564
396.059	-0.1032	396.29	1.2491
395.045	-0.105	395.288	1.2412
394.044	-0.1075	394.27	1.2328
393.033	-0.1086	393.257	1.2263
392.028	-0.1105	392.251	1.22
391.035	-0.1122	391.244	1.2126
390.041	-0.1128	390.246	1.2059
389.044	-0.1162	389.227	1.1971
388.062	-0.1182	388.212	1.1898
387.063	-0.1195	387.213	1.1831
386.072	-0.1222	386.192	1.1745
385.083	-0.1228	385.219	1.1678
384.087	-0.1241	384.252	1.1597
383.09	-0.1265	383.25	1.1498
382.097	-0.1286	382.288	1.1407
381.107	-0.1311	381.278	1.1305
380.09	-0.1331	380.236	1.1208
379.086	-0.1345	379.235	1.1127
378.062	-0.1359	378.195	1.1045
377.046	-0.1372	377.191	1.0969
376.041	-0.1398	376.204	1.0866
375.034	-0.1424	375.186	1.0759
374.052	-0.1436	374.198	1.0666
373.044	-0.1462	373.194	1.0542
372.044	-0.1471	372.187	1.0456
371.062	-0.1478	371.21	1.038
370.05	-0.1513	370.21	1.0266
369.055	-0.153	369.235	1.0175
368.055	-0.1553	368.247	1.0063
367.053	-0.1581	367.215	0.9928
366.069	-0.1591	366.22	0.9812
365.06	-0.1609	365.196	0.9692
364.075	-0.1621	364.176	0.9575
363.09	-0.1639	363.197	0.9451
362.069	-0.1656	362.202	0.9341
361.092	-0.1669	361.209	0.9243
360.084	-0.1693	360.252	0.9113
359.063	-0.1706	359.244	0.9003
358.081	-0.1717	358.273	0.8887
357.077	-0.1754	357.283	0.8727
356.082	-0.1776	356.262	0.8596
355.079	-0.1799	355.266	0.8465
354.056	-0.1831	354.226	0.8313
353.046	-0.1831	353.22	0.8195
352.041	-0.1837	352.221	0.8071
351.05	-0.1857	351.221	0.7927
350.058	-0.1869	350.222	0.7793
349.056	-0.1895	349.214	0.7635
348.043	-0.1917	348.205	0.7487
347.022	-0.1935	347.197	0.7346
346.016	-0.1947	346.21	0.7206
345.035	-0.1959	345.222	0.7076
344.043	-0.1984	344.239	0.6917
343.037	-0.1999	343.246	0.6753
342.042	-0.2009	342.233	0.66
341.03	-0.203	341.201	0.6415
340.042	-0.2039	340.17	0.6261
339.065	-0.205	339.157	0.6119
338.072	-0.2082	338.153	0.5936
337.076	-0.2096	337.165	0.5785
336.063	-0.2114	336.176	0.5611
335.062	-0.2134	335.197	0.5428
334.037	-0.2138	334.211	0.5255
333.019	-0.2147	333.236	0.5061
332.037	-0.2157	332.263	0.4875
331.049	-0.2175	331.253	0.4662
330.074	-0.2198	330.245	0.4448
329.09	-0.2213	329.224	0.4248
328.077	-0.2238	328.199	0.402
327.064	-0.2252	327.214	0.381
326.071	-0.2258	326.225	0.3613
325.067	-0.2291	325.218	0.3361
324.049	-0.2302	324.219	0.3131
323.057	-0.2314	323.195	0.2894
322.058	-0.2335	322.185	0.2635
321.086	-0.2327	321.191	0.2414
320.122	-0.2335	320.19	0.2179
319.137	-0.2357	319.208	0.1889
318.133	-0.2374	318.226	0.1607
317.107	-0.2406	317.219	0.1296
316.094	-0.2426	316.229	0.098
315.077	-0.2437	315.229	0.0687
314.065	-0.2449	314.216	0.0385
313.086	-0.2449	313.237	0.0103
312.096	-0.2465	312.238	-0.0234
311.09	-0.2474	311.241	-0.0559
310.127	-0.2473	310.262	-0.0876
309.123	-0.25	309.253	-0.1272
308.127	-0.2504	308.249	-0.1615
307.135	-0.2509	307.26	-0.1953
306.128	-0.255	306.262	-0.2399
305.129	-0.2558	305.262	-0.2807
304.111	-0.2577	304.288	-0.3258
303.128	-0.26	303.282	-0.3757
302.107	-0.2593	302.272	-0.418
301.09	-0.26	301.268	-0.4644
300.096	-0.261	300.242	-0.5106
299.082	-0.2626	299.213	-0.5595
298.083	-0.2649	298.187	-0.6118
297.084	-0.2662	297.196	-0.6619
296.087	-0.2679	296.181	-0.7158
295.07	-0.2687	295.208	-0.7683
294.086	-0.2684	294.227	-0.818
293.081	-0.2707	293.217	-0.8801
292.068	-0.2717	292.221	-0.9412
291.07	-0.2727	291.193	-1.004
290.049	-0.275	290.196	-1.0733
289.046	-0.2749	289.19	-1.1341
288.057	-0.2761	288.202	-1.1962
287.053	-0.2778	287.206	-1.2633
286.039	-0.279	286.189	-1.3307
285.036	-0.2809	285.183	-1.4039
284.041	-0.2814	284.174	-1.4781
283.047	-0.2823	283.2	-1.554
282.067	-0.2828	282.224	-1.63
281.087	-0.2826	281.254	-1.7039
280.071	-0.2851	280.275	-1.7887
279.088	-0.2865	279.252	-1.8744
278.078	-0.2873	278.249	-1.9566
277.065	-0.291	277.217	-2.0531
276.082	-0.2919	276.209	-2.1405
275.086	-0.2928	275.211	-2.2264
274.091	-0.2964	274.206	-2.3261
273.101	-0.2971	273.228	-2.4183
272.094	-0.2986	272.231	-2.5149
271.077	-0.3006	271.232	-2.6161
270.076	-0.3008	270.214	-2.7091
269.066	-0.3023	269.219	-2.8089
268.078	-0.3046	268.212	-2.9108
267.072	-0.3074	267.201	-3.0192
266.073	-0.3103	266.212	-3.1327
265.064	-0.3122	265.193	-3.2404
264.064	-0.3149	264.189	-3.3526
263.086	-0.316	263.207	-3.4607
262.099	-0.317	262.221	-3.5613
261.109	-0.3204	261.242	-3.6815
260.104	-0.322	260.238	-3.7966
259.11	-0.3237	259.229	-3.9096
258.105	-0.3269	258.224	-4.0359
257.118	-0.3278	257.219	-4.1454
256.133	-0.3296	256.239	-4.255
255.137	-0.3335	255.249	-4.3777
254.142	-0.3362	254.234	-4.4969
253.129	-0.3401	253.232	-4.6269
252.109	-0.3424	252.23	-4.7572
251.085	-0.3442	251.23	-4.8827
250.073	-0.3459	250.233	-5.0053
249.072	-0.3467	249.218	-5.1184
248.064	-0.3501	248.212	-5.245
247.071	-0.3527	247.18	-5.3683
246.079	-0.3547	246.178	-5.4793
245.079	-0.3586	245.188	-5.6105
244.079	-0.3604	244.195	-5.7211
243.092	-0.3617	243.247	-5.8254
242.087	-0.3657	242.255	-5.958
241.091	-0.3677	241.252	-6.0703
240.091	-0.3707	240.234	-6.1893
239.063	-0.374	239.201	-6.313
238.06	-0.3752	238.197	-6.4144
237.06	-0.3778	237.186	-6.5202
236.085	-0.3802	236.178	-6.6214
235.099	-0.3831	235.182	-6.7259
234.111	-0.3865	234.179	-6.8324
233.125	-0.3883	233.219	-6.9254
232.102	-0.3912	232.239	-7.0256
231.112	-0.393	231.258	-7.1144
230.11	-0.3933	230.279	-7.1899
229.114	-0.3976	229.26	-7.2927
228.114	-0.4	228.234	-7.3832
227.113	-0.4034	227.219	-7.4718
226.121	-0.4088	226.2	-7.5714
225.11	-0.4107	225.191	-7.6427
224.126	-0.4132	224.219	-7.7115
223.13	-0.4168	223.23	-7.7849
222.129	-0.419	222.239	-7.8489
221.125	-0.422	221.246	-7.9162
220.131	-0.4244	220.248	-7.9777
219.128	-0.4264	219.253	-8.0318
218.124	-0.4281	218.264	-8.0849
217.136	-0.43	217.269	-8.128
216.138	-0.4345	216.288	-8.1828
215.13	-0.4384	215.276	-8.2309
214.128	-0.4412	214.281	-8.2664
213.118	-0.4457	213.28	-8.3129
212.1	-0.4473	212.241	-8.3404
211.12	-0.4481	211.264	-8.3598
210.109	-0.4522	210.267	-8.3971
209.127	-0.4537	209.261	-8.4146
208.135	-0.4564	208.297	-8.4317
207.129	-0.4604	207.279	-8.4527
206.158	-0.4622	206.276	-8.4554
205.157	-0.4654	205.313	-8.4592
204.171	-0.4684	204.304	-8.4644
203.153	-0.4723	203.326	-8.474
202.143	-0.4767	202.315	-8.4874
201.15	-0.4794	201.299	-8.4924
200.147	-0.4833	200.288	-8.498
199.151	-0.4853	199.269	-8.4897
198.152	-0.486	198.287	-8.4697
197.121	-0.491	197.275	-8.4647
196.102	-0.4935	196.288	-8.4494
195.096	-0.4958	195.276	-8.4327
194.071	-0.5007	194.246	-8.4245
193.083	-0.5016	193.255	-8.3975
192.09	-0.5033	192.24	-8.3701
191.105	-0.5071	191.256	-8.3489
190.112	-0.5086	190.263	-8.3225
189.116	-0.512	189.24	-8.2998
188.135	-0.5149	188.235	-8.2739
187.133	-0.5173	187.24	-8.2442
186.127	-0.5203	186.223	-8.2139
185.111	-0.522	185.236	-8.1759
184.092	-0.5259	184.254	-8.1457
183.092	-0.5286	183.261	-8.111
182.091	-0.5299	182.288	-8.0684
181.108	-0.5337	181.282	-8.0361
180.132	-0.5349	180.264	-7.9933
179.132	-0.5355	179.233	-7.9469
178.163	-0.5394	178.218	-7.9166
177.15	-0.5409	177.225	-7.8764
176.137	-0.5437	176.227	-7.8407
175.128	-0.5477	175.251	-7.8081
174.11	-0.5493	174.253	-7.7642
173.11	-0.5517	173.243	-7.7213
172.094	-0.5541	172.26	-7.6787
171.12	-0.5566	171.263	-7.6371
170.13	-0.5593	170.244	-7.5995
169.135	-0.5606	169.27	-7.5577
168.138	-0.5628	168.261	-7.5172
167.106	-0.5634	167.263	-7.472
166.113	-0.5636	166.301	-7.4232
165.131	-0.5676	165.271	-7.3834
164.133	-0.5695	164.274	-7.341
163.137	-0.5721	163.254	-7.3
162.133	-0.5756	162.227	-7.2641
161.115	-0.5761	161.248	-7.2205
160.126	-0.5766	160.235	-7.1764
159.13	-0.5783	159.254	-7.1364
158.121	-0.5794	158.255	-7.0919
157.117	-0.5809	157.255	-7.05
156.112	-0.5824	156.253	-7.0094
155.124	-0.5839	155.24	-6.9665
154.131	-0.5853	154.243	-6.9272
153.153	-0.5865	153.241	-6.885
152.157	-0.59	152.273	-6.8499
151.161	-0.5926	151.243	-6.8137
150.161	-0.5938	150.245	-6.7738
149.133	-0.5968	149.242	-6.7404
148.135	-0.597	148.226	-6.6998
147.129	-0.5965	147.254	-6.6594
146.113	-0.5994	146.259	-6.6256
145.137	-0.5995	145.252	-6.5877
144.128	-0.6006	144.246	-6.5513
143.123	-0.6028	143.241	-6.5159
142.134	-0.6026	142.254	-6.4771
141.125	-0.6036	141.238	-6.439
140.121	-0.6052	140.243	-6.403
139.1	-0.6068	139.233	-6.3693
138.105	-0.6088	138.197	-6.3375
137.102	-0.6096	137.217	-6.3036
136.109	-0.6112	136.211	-6.2708
135.125	-0.612	135.216	-6.2351
134.13	-0.6118	134.256	-6.1985
133.118	-0.6149	133.243	-6.1668
132.115	-0.6155	132.235	-6.133
131.127	-0.6157	131.248	-6.0999
130.126	-0.6181	130.226	-6.0699
129.145	-0.617	129.241	-6.0368
128.161	-0.617	128.273	-6.0037
127.163	-0.6189	127.274	-5.9738
126.165	-0.6196	126.288	-5.9431
125.169	-0.6218	125.283	-5.9152
124.155	-0.6234	124.249	-5.8879
123.16	-0.6244	123.245	-5.8599
122.155	-0.6256	122.219	-5.8306
121.152	-0.6255	121.202	-5.799
120.158	-0.6282	120.2	-5.7706
119.142	-0.6294	119.205	-5.7416
118.149	-0.6293	118.205	-5.7107
117.145	-0.6317	117.234	-5.6842
116.158	-0.6311	116.236	-5.6546
115.176	-0.6308	115.25	-5.6241
114.166	-0.6345	114.266	-5.6016
113.166	-0.6352	113.254	-5.5746
112.156	-0.6367	112.265	-5.5493
111.141	-0.6392	111.273	-5.526
110.149	-0.6386	110.272	-5.4978
109.173	-0.6396	109.27	-5.4713
108.184	-0.6403	108.275	-5.4445
107.208	-0.6417	107.265	-5.4183
106.201	-0.6432	106.267	-5.394
105.203	-0.6432	105.278	-5.3687
104.197	-0.6445	104.273	-5.3442
103.205	-0.6446	103.278	-5.3182
102.23	-0.6441	102.299	-5.2903
101.222	-0.6475	101.305	-5.2683
100.21	-0.6491	100.3	-5.2456
99.189	-0.6501	99.295	-5.2228
98.158	-0.6531	98.298	-5.2024
97.138	-0.6524	97.298	-5.1769
96.14	-0.6523	96.305	-5.1519
95.14	-0.6535	95.271	-5.1285
94.156	-0.6538	94.24	-5.1053
93.153	-0.6553	93.229	-5.0817
92.162	-0.6567	92.244	-5.058
91.154	-0.6578	91.252	-5.0349
90.149	-0.6593	90.272	-5.0115
89.178	-0.6598	89.293	-4.9883
88.17	-0.6619	88.291	-4.9682
87.157	-0.6637	87.292	-4.947
86.143	-0.6634	86.27	-4.9242
85.126	-0.6655	85.262	-4.9039
84.124	-0.6659	84.251	-4.881
83.149	-0.6652	83.262	-4.8577
82.157	-0.6672	82.27	-4.8384
81.142	-0.6676	81.234	-4.8178
80.155	-0.6689	80.234	-4.7965
79.154	-0.6713	79.228	-4.7767
78.179	-0.6716	78.212	-4.7542
77.201	-0.6724	77.234	-4.7319
76.197	-0.6726	76.24	-4.7098
75.182	-0.6737	75.248	-4.6901
74.148	-0.6754	74.274	-4.6716
73.149	-0.676	73.268	-4.6516
72.154	-0.6776	72.248	-4.6333
71.162	-0.6784	71.271	-4.6132
70.183	-0.6783	70.259	-4.591
69.173	-0.6812	69.263	-4.5732
68.176	-0.6824	68.266	-4.5541
67.168	-0.6827	67.243	-4.5343
66.166	-0.6852	66.258	-4.5172
65.168	-0.6845	65.276	-4.4967
64.174	-0.6842	64.304	-4.4777
63.188	-0.6858	63.319	-4.4606
62.198	-0.6862	62.321	-4.4423
61.189	-0.6882	61.295	-4.4236
60.186	-0.6902	60.292	-4.4058
59.174	-0.6912	59.279	-4.3866
58.157	-0.6921	58.264	-4.3697
57.171	-0.6921	57.293	-4.3519
56.149	-0.6938	56.293	-4.3353
55.16	-0.6949	55.293	-4.3182
54.171	-0.6944	54.304	-4.2985
53.153	-0.6963	53.291	-4.2822
52.184	-0.6954	52.287	-4.2632
51.192	-0.6948	51.315	-4.2454
50.184	-0.6986	50.301	-4.2323
49.197	-0.7002	49.297	-4.217
48.175	-0.7026	48.294	-4.2027
47.16	-0.7054	47.272	-4.1879
46.164	-0.7052	46.272	-4.17
45.161	-0.7053	45.286	-4.1529
44.162	-0.7054	44.268	-4.1361
43.153	-0.7053	43.263	-4.1207
42.143	-0.7062	42.247	-4.1064
41.152	-0.7058	41.238	-4.0917
40.172	-0.7051	40.252	-4.0767
39.195	-0.7059	39.254	-4.0611
38.194	-0.7053	38.289	-4.045
37.207	-0.7084	37.293	-4.0302
36.189	-0.7117	36.278	-4.016
35.2	-0.7127	35.269	-4.0016
34.197	-0.7156	34.269	-3.9886
33.165	-0.7149	33.264	-3.9745
32.167	-0.7147	32.279	-3.9608
31.145	-0.7157	31.28	-3.9468
30.154	-0.7159	30.265	-3.9325
29.177	-0.7176	29.257	-3.9185
28.183	-0.7188	28.274	-3.9041
27.196	-0.72	27.301	-3.8905
26.227	-0.7212	26.302	-3.877
25.23	-0.7209	25.312	-3.8642
24.255	-0.7232	24.299	-3.8514
23.259	-0.7251	23.291	-3.8392
22.228	-0.7249	22.319	-3.8252
21.217	-0.727	21.328	-3.8127
20.194	-0.7266	20.343	-3.7995
19.197	-0.7257	19.349	-3.7863
18.192	-0.7285	18.326	-3.7757
17.21	-0.7292	17.325	-3.7624
16.216	-0.7304	16.302	-3.7515
15.209	-0.7325	15.298	-3.7401
14.228	-0.7318	14.301	-3.7262
13.244	-0.7325	13.31	-3.7146
12.246	-0.7327	12.327	-3.7011
11.234	-0.7334	11.316	-3.6886
10.227	-0.7349	10.324	-3.6783
9.219	-0.7348	9.319	-3.6669
8.228	-0.7366	8.31	-3.6562
7.246	-0.7369	7.332	-3.6443
6.282	-0.7366	6.352	-3.6311
5.273	-0.7394	5.343	-3.6195
4.264	-0.74	4.345	-3.6086
3.269	-0.7405	3.327	-3.5986
2.244	-0.7424	2.302	-3.5897
1.245	-0.7416	1.313	-3.579
0.267	-0.7413	0.316	-3.5676
-0.687	-0.7389	-0.631	-3.5548
-1.641	-0.7389	-1.601	-3.5434
-2.593	-0.7406	-2.584	-3.5329
-3.571	-0.7417	-3.546	-3.5224
-4.587	-0.7463	-4.557	-3.5134
-5.596	-0.7474	-5.55	-3.5029
-6.61	-0.7474	-6.525	-3.492
-7.631	-0.7494	-7.542	-3.4821
-8.647	-0.7506	-8.584	-3.4721
-9.638	-0.7501	-9.58	-3.4613
-10.643	-0.7511	-10.611	-3.4518
-11.631	-0.7507	-11.594	-3.4407
-12.617	-0.7497	-12.569	-3.4299
-13.621	-0.7531	-13.579	-3.422
-14.635	-0.7541	-14.576	-3.413
-15.654	-0.7553	-15.591	-3.4048
-16.664	-0.7576	-16.59	-3.3959
-17.681	-0.7572	-17.564	-3.3845
-18.658	-0.7576	-18.565	-3.3741
-19.635	-0.7576	-19.553	-3.3647
-20.647	-0.7575	-20.556	-3.3554
-21.646	-0.7586	-21.59	-3.3467
-22.657	-0.7581	-22.577	-3.3379
-23.658	-0.7597	-23.576	-3.3287
-24.632	-0.76	-24.559	-3.3194
-25.609	-0.7593	-25.542	-3.3097
-26.61	-0.7627	-26.55	-3.3008
-27.618	-0.7631	-27.55	-3.2922
-28.629	-0.7638	-28.548	-3.2836
-29.668	-0.7657	-29.568	-3.2761
-30.675	-0.7639	-30.567	-3.2674
-31.682	-0.7638	-31.579	-3.2587
-32.686	-0.7647	-32.603	-3.2512
-33.667	-0.7646	-33.582	-3.2427
-34.663	-0.766	-34.594	-3.234
-35.649	-0.7669	-35.586	-3.2246
-36.626	-0.7676	-36.563	-3.2155
-37.627	-0.7681	-37.562	-3.2065
-38.614	-0.7679	-38.544	-3.1982
-39.614	-0.7688	-39.551	-3.1925
-40.632	-0.7695	-40.572	-3.1852
-41.639	-0.7692	-41.574	-3.178
-42.644	-0.7701	-42.592	-3.1719
-43.648	-0.7693	-43.581	-3.163
-44.627	-0.7685	-44.57	-3.1549
-45.625	-0.7701	-45.572	-3.1477
-46.626	-0.7705	-46.572	-3.1397
-47.629	-0.7712	-47.564	-3.1316
-48.655	-0.7723	-48.562	-3.1241
-49.645	-0.7719	-49.574	-3.1157
-50.643	-0.7716	-50.556	-3.108
-51.637	-0.7724	-51.572	-3.101
-52.632	-0.7731	-52.569	-3.0941
-53.664	-0.7741	-53.565	-3.0884
-54.66	-0.7742	-54.563	-3.0815
-55.666	-0.7754	-55.562	-3.0748
-56.663	-0.7759	-56.568	-3.0673
-57.644	-0.7757	-57.556	-3.0587
-58.674	-0.7777	-58.574	-3.0517
-59.678	-0.7777	-59.582	-3.0449
-60.697	-0.7778	-60.599	-3.0391
-61.695	-0.7793	-61.609	-3.0337
-62.682	-0.7779	-62.608	-3.0266
-63.692	-0.777	-63.592	-3.02
-64.673	-0.7773	-64.575	-3.0131
-65.662	-0.7769	-65.605	-3.0058
-66.671	-0.7784	-66.592	-2.9997
-67.671	-0.7796	-67.612	-2.9924
-68.681	-0.7798	-68.613	-2.9855
-69.704	-0.78	-69.594	-2.9807
-70.681	-0.7792	-70.599	-2.9746
-71.68	-0.7798	-71.597	-2.9695
-72.673	-0.7805	-72.591	-2.9641
-73.654	-0.7798	-73.577	-2.9568
-74.671	-0.7801	-74.588	-2.9507
-75.659	-0.7789	-75.587	-2.9441
-76.642	-0.7777	-76.577	-2.9377
-77.657	-0.7797	-77.574	-2.9331
-78.659	-0.7805	-78.557	-2.9271
-79.645	-0.7819	-79.554	-2.9225
-80.655	-0.7827	-80.574	-2.9169
-81.649	-0.7822	-81.594	-2.9104
-82.651	-0.7818	-82.607	-2.9047
-83.662	-0.7812	-83.608	-2.8976
-84.664	-0.7814	-84.602	-2.8926
-85.675	-0.7814	-85.577	-2.8877
-86.659	-0.7808	-86.591	-2.8824
-87.64	-0.7813	-87.594	-2.8783
-88.636	-0.7815	-88.592	-2.8722
-89.614	-0.7804	-89.581	-2.8657
-90.614	-0.7824	-90.564	-2.8614
-91.641	-0.7817	-91.547	-2.8567
-92.649	-0.781	-92.555	-2.8525
-93.652	-0.7827	-93.579	-2.8495
-94.644	-0.7808	-94.581	-2.8452
-95.628	-0.7801	-95.587	-2.841
-96.627	-0.7797	-96.587	-2.8363
-97.623	-0.7783	-97.587	-2.8313
-98.175	-0.7362	-98.105	-2.803
-98.212	-0.6849	-98.157	-2.7684
-97.74	-0.6282	-97.698	-2.7313
-96.785	-0.5667	-96.731	-2.6909
-95.776	-0.5434	-95.74	-2.6711
-94.773	-0.5262	-94.735	-2.6555
-93.776	-0.5112	-93.727	-2.6424
-92.768	-0.4971	-92.729	-2.629
-91.77	-0.4853	-91.737	-2.6166
-90.779	-0.4737	-90.745	-2.6049
-89.791	-0.4627	-89.726	-2.5928
-88.793	-0.4541	-88.737	-2.5828
